modality,kind,band,size,label,detour_pct,cut_pairs,single_sum,best_single,superadd,z_vs_rankmatched,ctl_mean,ctl_degenerate,median_rank
mechanosensory,random,top200,1,top200,0.0544940551806267,0,,,,,,,
mechanosensory,random,top200,1,top200,0.0294099297830076,0,,,,,,,
mechanosensory,random,top200,1,top200,0.0448613192873765,0,,,,,,,
mechanosensory,random,top200,2,top200,0.3362084472879072,0,,,,,,,
mechanosensory,random,top200,2,top200,0.3031803751065869,0,,,,,,,
mechanosensory,random,top200,2,top200,0.028700557964473,0,,,,,,,
mechanosensory,random,top200,2,top200,0.4471444193766232,0,,,,,,,
mechanosensory,random,top200,2,top200,0.2077832421520224,0,,,,,,,
mechanosensory,random,top200,2,top200,0.0867085013786324,0,,,,,,,
mechanosensory,random,top200,2,top200,0.0218122722693259,0,,,,,,,
mechanosensory,random,top200,2,top200,0.3250804011351172,0,,,,,,,
mechanosensory,random,top200,2,top200,0.1499647273974065,0,,,,,,,
mechanosensory,random,top200,2,top200,0.0782612137947107,0,,,,,,,
mechanosensory,random,top200,4,top200,0.5724601735841054,0,,,,,,,
mechanosensory,random,top200,4,top200,0.3643070470827907,2224,,,,,,,
mechanosensory,random,top200,4,top200,0.2142615514003427,0,,,,,,,
mechanosensory,random,top200,4,top200,0.2094538087289151,0,,,,,,,
mechanosensory,random,top200,4,top200,0.2166602231998259,0,,,,,,,
mechanosensory,random,top200,4,top200,1.1230282064691732,0,,,,,,,
mechanosensory,random,top200,4,top200,0.2032780857362341,0,,,,,,,
mechanosensory,random,top200,4,top200,0.1320795951038288,0,,,,,,,
mechanosensory,random,top200,4,top200,0.2130241167878967,3339,,,,,,,
mechanosensory,random,top200,4,top200,0.1771148698045446,0,,,,,,,
mechanosensory,random,top200,8,top200,1.381236180058708,3342,,,,,,,
mechanosensory,random,top200,8,top200,0.5275203765135911,0,,,,,,,
mechanosensory,random,top200,8,top200,0.8733020703119663,4452,,,,,,,
mechanosensory,random,top200,8,top200,1.1427803734302744,0,,,,,,,
mechanosensory,random,top200,8,top200,0.3478819126911334,0,,,,,,,
mechanosensory,random,top200,8,top200,1.410315982032154,6672,,,,,,,
mechanosensory,random,top200,8,top200,0.8116126102908007,4440,,,,,,,
mechanosensory,random,top200,8,top200,0.4250488056162336,1112,,,,,,,
mechanosensory,random,top200,8,top200,0.9284260490205798,2220,,,,,,,
mechanosensory,random,top200,8,top200,0.7181323014848698,0,,,,,,,
mechanosensory,random,top200,16,top200,1.4996910342352514,8872,,,,,,,
mechanosensory,random,top200,16,top200,1.585453464364837,0,,,,,,,
mechanosensory,random,top200,16,top200,0.9648459208870092,2218,,,,,,,
mechanosensory,random,top200,16,top200,1.467396242005624,0,,,,,,,
mechanosensory,random,top200,16,top200,1.980201426919088,3324,,,,,,,
mechanosensory,random,top200,16,top200,1.618564577103225,1110,,,,,,,
mechanosensory,random,top200,16,top200,1.9155079375092676,2220,,,,,,,
mechanosensory,random,top200,16,top200,0.9630175424642048,1112,,,,,,,
mechanosensory,random,top200,16,top200,1.6374791789393257,0,,,,,,,
mechanosensory,random,top200,16,top200,1.3920826555594106,0,,,,,,,
mechanosensory,random,top200,32,top200,3.1451599639464294,6642,,,,,,,
mechanosensory,random,top200,32,top200,3.9692652812757294,9972,,,,,,,
mechanosensory,random,top200,32,top200,3.1498044785386363,7749,,,,,,,
mechanosensory,random,top200,32,top200,2.3174771092365987,13236,,,,,,,
mechanosensory,random,top200,32,top200,2.9426766272827547,6648,,,,,,,
mechanosensory,random,top200,32,top200,2.6846091331617346,3330,,,,,,,
mechanosensory,random,top200,32,top200,2.215419524890055,2214,,,,,,,
mechanosensory,random,top200,32,top200,1.7301764674986626,4432,,,,,,,
mechanosensory,random,top200,32,top200,3.4860805083275026,4444,,,,,,,
mechanosensory,random,top200,32,top200,3.590077988198141,3312,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0443550937925721,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0083526384886586,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0021032279492176,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0013821157701918,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0012799623416648,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0054275180328391,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0005200645167253,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0063591138344996,0,,,,,,,
mechanosensory,random,rank200_1000,1,rank200_1000,0.0112497367961355,100,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.0152091245034612,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.01840344741047,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.0097434016644761,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.0181798191987107,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.007439603176527,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.2821537731114714,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.0239915910451077,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.0266190933058783,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.0194807314967992,0,,,,,,,
mechanosensory,random,rank200_1000,2,rank200_1000,0.0104152071966234,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0278440347180667,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0482628394128975,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0616905523426595,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.043557983107916,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0422785449699348,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0263369199894275,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.3787142153192569,1112,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0298054549474499,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0317740065301777,0,,,,,,,
mechanosensory,random,rank200_1000,4,rank200_1000,0.0494300729334008,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.1758567652951897,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.0717260233222661,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.0451891934450449,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.166054372831945,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.0343038142983804,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.1210037201184582,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.122205526346867,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.1283073070360648,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.1575952085728723,0,,,,,,,
mechanosensory,random,rank200_1000,8,rank200_1000,0.0836723791836192,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.1976554093795943,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.5419362288086651,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.1035702771510364,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.1374176869372238,100,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.1139303896845796,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.1371983430992405,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.3035050668668251,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.2577749351815724,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.2217940894648282,0,,,,,,,
mechanosensory,random,rank200_1000,16,rank200_1000,0.2322183036699812,0,,,,,,,
mechanosensory,random,rank200_1000,32,rank200_1000,0.4042690637459026,0,,,,,,,
mechanosensory,random,rank200_1000,32,rank200_1000,0.3104345565344185,0,,,,,,,
mechanosensory,random,rank200_1000,32,rank200_1000,0.3203106744006792,0,,,,,,,
mechanosensory,random,rank200_1000,32,rank200_1000,0.2587883586878517,0,,,,,,,
mechanosensory,random,rank200_1000,32,rank200_1000,0.4068495230896575,0,,,,,,,
mechanosensory,random,rank200_1000,32,rank200_1000,0.2987171367041168,100,,,,,,,
mechanosensory,random,rank200_1000,32,rank200_1000,0.335716286058067,0,,,,,,,
