modality,primary_type,fafb_bw,mcns_bw,fafb_rank,mcns_rank,in_both_top
visual,LC33,5.743862008540089e-09,1.4510824415496991e-09,649,1036,False
visual,LC34,0.0,0.0,2217,4313,False
visual,LC36,2.461655146517181e-09,4.3532473246490965e-10,750,1201,False
visual,LC37,0.0,5.804329766198795e-10,2187,1166,False
visual,LC4,4.923310293034362e-09,1.0781542540714265e-07,670,153,False
visual,LC40,0.0,0.0,2189,4316,False
visual,LC41,0.0,0.0,2230,4317,False
visual,LC43,0.0,0.0,2231,4318,False
visual,LC44,0.0,0.0,2232,4319,False
visual,LC6,1.099539298777674e-07,5.804329766198795e-10,167,1165,False
visual,LC9,5.470344770038179e-09,1.305974197394729e-09,662,1057,False
visual,LHAD1a2,0.0,0.0,2248,4310,False
visual,LHAD1g1,1.6301627414713777e-07,2.945697356345889e-07,107,47,False
visual,LHAD2c2,0.0,0.0,2222,4268,False
visual,LHAV1a3,0.0,0.0,2225,4272,False
visual,LHAV2b1,0.0,0.0,2226,4277,False
visual,LHAV2b6,0.0,0.0,2251,4283,False
visual,LHAV2d1,2.7351723850190897e-10,0.0,913,4285,False
visual,LHAV2g2_a,0.0,0.0,2253,4286,False
visual,LHAV2g2_b,0.0,0.0,2254,4287,False
visual,LHAV2o1,0.0,0.0,2255,4292,False
visual,LHAV2p1,3.0360413473711895e-08,2.757056638944428e-09,411,934,False
visual,LHAV3a1_c,0.0,0.0,2256,4293,False
visual,LHAV3e2,0.0,0.0,2257,4359,False
visual,LHAV3g2,0.0,0.0,2258,4364,False
visual,LHAV3p1,0.0,0.0,2243,4367,False
visual,LHAV3q1,2.7351723850190897e-10,0.0,901,4368,False
visual,LHAV4i1,0.0,0.0,2244,4376,False
visual,LHAV6e1,0.0,0.0,2268,4380,False
visual,LHCENT10,0.0,0.0,2270,4383,False
visual,LHCENT13_a,0.0,0.0,2272,4384,False
visual,LHCENT13_b,0.0,0.0,2273,4385,False
visual,LHCENT13_c,0.0,0.0,2274,4386,False
visual,LHCENT13_d,0.0,0.0,2275,4387,False
visual,LHCENT14,0.0,0.0,2276,4372,False
visual,LHCENT3,3.5557241005248166e-09,2.9021648830993976e-10,713,1264,False
visual,LHCENT4,0.0,0.0,2277,4328,False
visual,LHPD1b1,0.0,0.0,2278,4332,False
visual,LHPD2c1,0.0,0.0,2279,4334,False
visual,LHPD2c7,0.0,0.0,2280,4336,False
visual,LHPD2d2,0.0,0.0,2281,4337,False
