root_id,super_class,class
720575940629497431,sensory,olfactory
720575940622026334,central,unknown
720575940622321251,central,Kenyon_Cell
720575940604921446,central,unknown
720575940643980910,sensory,olfactory
720575940629661306,central,unknown
720575940627334782,sensory,olfactory
720575940622812799,central,ALLN
720575940648633988,central,ALLN
720575940622812808,central,Kenyon_Cell
720575940627728009,central,LHLN
720575940641621645,central,ALLN
720575940627465871,sensory,olfactory
720575940623697552,central,unknown
720575940614719122,central,unknown
720575940613637782,sensory,olfactory
720575940634707607,central,unknown
720575940613637785,central,unknown
720575940633953948,central,unknown
720575940639032995,central,Kenyon_Cell
720575940620813989,visual_projection,unknown
720575940622124713,central,unknown
720575940635690670,central,unknown
720575940620519088,sensory,olfactory
720575940607280818,central,Kenyon_Cell
720575940615767739,sensory,olfactory
720575940623468228,central,unknown
720575940633593548,central,unknown
720575940621862605,sensory,olfactory
720575940611344078,central,MBON
720575940610885330,central,Kenyon_Cell
720575940617570008,central,unknown
720575940617078489,central,unknown
720575940642506459,central,unknown
720575940638639838,central,unknown
720575940633626337,central,LHCENT
720575940637296356,central,ALON
720575940617340646,sensory,olfactory
720575940635821801,central,unknown
720575940629137148,visual_projection,unknown
720575940619896581,central,Kenyon_Cell
720575940624942855,central,unknown
720575940622878477,central,Kenyon_Cell
720575940624549646,central,Kenyon_Cell
720575940623009549,central,Kenyon_Cell
720575940625532689,central,Kenyon_Cell
720575940627728149,central,unknown
720575940616095517,central,Kenyon_Cell
720575940603676448,central,unknown
720575940621764385,central,Kenyon_Cell
720575940622681889,visual_centrifugal,unknown
720575940643129124,central,Kenyon_Cell
720575940626122535,sensory,olfactory
720575940615014184,central,unknown
720575940628219692,central,Kenyon_Cell
720575940647978804,sensory,olfactory
720575940629432124,central,unknown
720575940636510015,central,Kenyon_Cell
720575940617504581,central,ALPN
720575940638803790,central,unknown
720575940619896656,central,unknown
720575940632151889,central,unknown
720575940628514647,central,ALPN
720575940635068255,central,LHLN
720575940632741728,central,unknown
720575940634707807,central,unknown
720575940637624165,central,unknown
720575940626745193,central,unknown
720575940630579052,central,unknown
720575940619798381,sensory,olfactory
720575940638410611,sensory,olfactory
